source,retailer,product_id,product_name,rating,submission_time,user_nickname,review_text,price
powerreviews,shoppers_ca,5060489793461,BYOMA Moisturizing Rich Cream,5,2025-10-15 15:36:44.376000+00:00,Taylor,"Bought this moisturizer to add to my morning skincare routine skincare routine and it did not disappoint! It doesn't feel heavy going on, just super light and hydrating.
I'm loving this brand, my dry irritated eczema skin feeling so good from it. Currently using the Byoma Milky Toner, Eye Serum, and Retinol Oil. Definitely recommend!",21 CAD
powerreviews,shoppers_ca,5060489793461,BYOMA Moisturizing Rich Cream,5,2024-11-14 01:20:55.816000+00:00,Saphias5,"I've finally found my holy grail moisturizer!! Byoma Moisturizing Rich Cream has transformed my sensitive skin, quenching its thirst for hydration and soothing its irritability. Rich & non-greasy texture, absorbs quickly, leaving my skin feeling so soft. Keeps my skin hydrated for up to 24 hours, reducing dryness and irritation. What I love about it the most is, it has ceramides, hyaluronic acid, and niacin-amide which work synergistically to lock in the moisture, strengthen the skin barrier, and reduce inflammation. It is fragrance-free, hypoallergenic, and gentle enough for even the most delicate complexions. 

@byoma Moisturizing Rich Cream has become an essential step in my daily skincare routine. It's the perfect complement to my gentle cleanser and serum, providing an intense dose of hydration and nourishment. Really recommend to everyone!!! 💕",21 CAD
powerreviews,shoppers_ca,5060489793461,BYOMA Moisturizing Rich Cream,5,2024-10-05 19:28:58.249000+00:00,Harman,After a long search i finally found a moisturizer which would not break the bank. It did not react to my acne prone sensitive skin at all. It is a rich moisturizer suitable for my dry-combo skin.,21 CAD
powerreviews,shoppers_ca,5060489793461,BYOMA Moisturizing Rich Cream,5,2024-09-22 11:57:49.326000+00:00,Sam,Its so soft on my skin and protect my barrier cuz my barrier was not hood until i used byoma💞,21 CAD
powerreviews,shoppers_ca,5060489793461,BYOMA Moisturizing Rich Cream,5,2024-05-12 05:07:37.348000+00:00,Carl0120,"Great product, great price. Can't beat it. Hydrates my very dry and sensitive skin.",21 CAD
powerreviews,shoppers_ca,5060489793461,BYOMA Moisturizing Rich Cream,5,2024-04-10 23:39:20.242000+00:00,Kali,"Normally, I have really dry skin, after using this, I don't remember what dry skin feels like anymore! It lasts long so you don't have to worry about replacing every week or two. I had to repurchase it after 2 months, maybe longer.",21 CAD
powerreviews,shoppers_ca,5060489793461,BYOMA Moisturizing Rich Cream,5,2024-03-01 14:16:47.865000+00:00,Sam,"I recently bought the Byoma Moisturizer and I'm so pleased with how it feels on my face. It's been 3 days and so far no skin reactions and feels smoother, softer and not dry. I like that I don't need to apply that much and there isn't a strong chemical smell like other moisturizer products I've used.",21 CAD
powerreviews,shoppers_ca,5060489793461,BYOMA Moisturizing Rich Cream,5,2023-10-12 22:06:28.169000+00:00,Jen,"It's not only affordable, but it's very hydrating and soothing to the skin. Never stinging unscented and absolutely the best it would be an absolute shame if shoppers stopped selling this.",21 CAD
powerreviews,shoppers_ca,5060489793461,BYOMA Moisturizing Rich Cream,5,2023-04-09 23:38:06.893000+00:00,em,"super thick and rich, didn't break me out, and layers well under makeup or for pm!!",21 CAD
powerreviews,shoppers_ca,5060489793461,BYOMA Moisturizing Rich Cream,5,2023-02-24 21:50:52.801000+00:00,Jaclyn3,This product is amazing for my dry skin i'm obsessed! Such a great price too and I love the packaging!,21 CAD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,3,2025-11-17 02:22:01.002000+00:00,mia,it was good but i like glowy skin and it kinda just made it soft and u cant tell really its ok i guess,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-11-15 01:24:47.456000+00:00,Janet,Bought for my teenage son who has struggled with mild eczema his whole life. The cold morning the are the WORST. Leaves his face smooth and balanced without clogging pores. Worth every penny!,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,4,2025-11-11 05:13:40.395000+00:00,Chloe,"i love the texture and feel of this moisturizer! BYOMA is oneof my faveitie skincare brands on the market right now. Shea Butter is unfortunately a pore clogging ingredient for my acne-prone skin and its oretty high up on the ingredient list. However, this moisturizer is such a good texture and leaves the skin soft, plump & glowy. It would be perfect for someone with normal-dry skin that is not acne prone! Although it does cause tiny breakouts for me, I will still use it until I run out",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,4,2025-10-20 16:30:40.706000+00:00,Yaretd,Leaves my face so soft and moisturized,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-10-09 06:47:50.193000+00:00,Bailey,I love this. It doesnt pill on my skin which is other plus and i love how it makes my skin feel. So soft and hydrated.,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-08-17 22:53:02.084000+00:00,Nora,I used tgis in the winter and loved it once it got warmer i preferd a mote light weight one though.,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,2,2025-08-09 17:05:54.424000+00:00,Amanda,I have sensitive skin that breaks out easily and have to be careful of what I use. I should have known better than to switch from my old faithful moisturizer. But I gave this a try and noticed blind pimples and deep acne within a couple of weeks. Wanted to love it but its just not for me.,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,3,2025-08-06 16:32:23.565000+00:00,GMA,"Seal had been broken, not much in bottle.  The cream itself seemed fine, but definitely used.",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-07-18 07:58:15.534000+00:00,lace,i have combo sensitive dry skin. i love byoma products! i paired this moisturizer with the milky hydrating toner and the milky cleanser and love all 3! def apart of my daily skincare routine,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,4,2025-07-08 07:23:29.072000+00:00,Amy,"I lived in colorado for 4 years and would dread winter because i knew what would happen to my skin. No matter what i tried my face inevitably ended up dry, cracked, flaky, and sensitive around my chin. I tried so many different moisturizers, getting facials, slugging, exfoliants to get the dead skin off, and nothing helped. I'm not sure when i picked this up, but within a week my skin did a complete 180. I was trying another product at the time and stopped using this for a few days to determine which was helping and i very quickly found out it was this one. I've never looked back. The only con is the packaging. The pump can be annoying to get going, and also i wish it came in a bigger size!",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-06-30 23:58:57.232000+00:00,Allie,I love this byoma moisturizer so much!!! It works so good and is so soothing!!!,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-06-30 23:58:57.203000+00:00,Allie,I love this byoma moisturizer so much!!! It works so good and is so soothing!!!,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-06-30 23:58:56.519000+00:00,Allie,I love this byoma moisturizer so much!!! It works so good and is so soothing!!!,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-06-10 20:46:31.841000+00:00,Makayla,This product is super hydrating for my skin while also not making it feel greasy and disgusting. It also doesn't break me out like my old moisturizer did. 100% would recommend!!,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-06-08 14:34:29.064000+00:00,eva,recived this as a birthday gift and used it and my skins smoother then ever and my acne is gone!,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-06-04 15:49:21.703000+00:00,Jenn,"Leaves my skin feeling fresh, clean and hydrated! Great for my sensitive skin",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-06-03 04:11:11.470000+00:00,lexxxxxx,"ive been using this and other products from byoma for about a month and a half straight and i feel a difference and see the difference in my skin! My skin feels hydrating, its smooth and its also really good for skin prep before going in with makeup! 1000/10 recommend!",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-05-26 05:13:59.775000+00:00,Jesscvz88,I use this at night with the retinol oil serum and it works amazing.  my skin feels so hydrated with out feeling oily and greasy. I'm have been loving my byoma skincare. 100% recommend,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-05-14 18:23:08.644000+00:00,mmichellemmarie,The rich moisturizer is so good! It makes my face very soft. The bottle is sleek and the pump works great. It does not have a scent. I would definitely reorder! I used this with the tri-ceramide serum & milky toner.,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,4,2025-05-13 21:13:13.673000+00:00,Olivia,It makes my skin feel hydrated and smooth!,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,3,2025-05-10 14:32:21.783000+00:00,Mallory,The packaging is awful. The pump never pumped anything so I took it off and there was no straw attached to it at all. Now I have to smack the bottle on my palm to get anything to come out. Not worth the month since I can't get all the product out. The product itself is great.,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-05-07 17:15:18.943000+00:00,Audge,"My skin was getting dry and patchy, and I stumbled upon this moisturizer. I decided to give it a shot and boy was that a good decision! In a matter of 3 days my skin went from dry to hydrated and plump! ❤️",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,3,2025-04-24 17:07:59.153000+00:00,Han,"I have sensitive combination skin, and this was just okay. I was expecting it be much more moisturizing than what it was, and it didnt really inprove my skin any. It didnt make it worse - so thats a plus - but there are definitley better moisturizers out there. Would really only recommend if you have fairly normal/unproblematic skin.",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,4,2025-04-14 00:26:38.936000+00:00,Meg,"I love this moisturizer! It's great at hydrating my aging, sensitive skin. It feels good when it goes on, and doesn't feel like it dries up quickly. 

My only complaint is the packaging. It's really hard to get all of the product out of the bottle, when you are near the end. 

But that won't stop me from purchasing again!",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-03-22 23:17:03.345000+00:00,Em,"These products came highly recommended by a biochemist on tiktok . This product is a great rich night time cream, i use it on the nights with and without retinol . I use the gel- cream  one in the morning and it gives me a glow. I have very sensitive skin no issues . Im very happy!",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-03-22 15:59:51.101000+00:00,Mads,"When first trying this product i wasnt sure, only because i have super sensitive skin with pores that clog easily. Id had some breakouts that were healing literally from the night before. After waking up this morning. Ooooh weee. I love it. Redness has minimized and no oily residue. Great night moisterizer.",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-03-20 16:00:32.710000+00:00,Tammy,"I recently downloaded the Yuka app and this product rated very good. After trying it, I'm sold. It's gentle enough for my sensitive skin and moisturizes great. I'll buy it again.",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-03-15 04:18:20.927000+00:00,Chand,I am already on my 4th bottle,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,3,2025-03-12 23:23:17.273000+00:00,M,"The actual cream, imo, is comparable to Biossance's overnight cream at a fraction of the cost. Unfortunately, the container is absolutely infuriating. It's clunky and makes it impossible to get all of the product out.",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-03-09 19:17:56.796000+00:00,Kori,This is my teen daughter's favorite moisturizer. She loves it!,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-03-06 03:25:09.214000+00:00,Kaiah,I love this moisturizer! I needed something thicker for the winter tine and this product has been helpful. I sometimes get small dry patches on my cheek and this works. Makes my skin so soft and smooth.,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-03-02 20:37:34.972000+00:00,Chand,I am already on my 3rd bottle,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-03-01 23:33:52.329000+00:00,Em,This reduced all my texture and made my skin so flawless! I love that it's not irritating at all and safe for sensitive and acne prone skin. Everything about this is 10/10. New holy grail.,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,4,2025-02-22 01:28:43.136000+00:00,Preppy_skincare_GIRLY,I really like this moisturizer it is really easy to blend into your face and it feels really hydrating,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-02-16 16:55:46.242000+00:00,Chelsea,"This is a perfect moisturizer for my skin when it's really dry during the winter and the season changes. I love the not too creamy consistency and the excelent blend of hydrating ingredients to help repair my skin. I'm currently using it after my cerave moisturizing lotion at night for extra hydrates and glowy skin in the morning. I also have combinati on skin, but I've been using some prescribed products since february 2024.",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-02-09 17:00:28.656000+00:00,Becca,I have really sensitive skin but this is one of the few moisturizers that doesn't irritate it. It's light and moisturizing. Would recommend!,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-02-05 10:31:42.109000+00:00,Jules,"I have very acne prone, sensitive skin. I can't even explain how much this product has helped my skin, and as a teen, this product is very affordable! I have repurchased this twice because it is very soothing and hydrating for irritated skin, and as a plus, the packaging is cute!",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,4,2025-02-04 05:34:51.899000+00:00,Jaiden,"This is a great choice for anyone with dry skin, compromised skin barrier, and mature skin. Amazing, buttery texture. It unfortunately made me break out though, I think due to the shea butter, which tends to be a pore clogger for me. I have very acne prone skin, normal-oily, so just didn't work for me.",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-01-30 20:58:17.113000+00:00,erica,I love and ever since I stared using it my acne has been disappearing I bought this with the jelly cleanser and the brighting serum and I love all of byomas products slayyyy,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-01-25 03:35:17.919000+00:00,Jesus Loves You,"This is an amazing moisturizer! It's great for dry, sensitive skin! It's super hydrating! I love the packaging too! Great product!",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-01-23 23:14:18.612000+00:00,Avalon,one of the best moisturizers I've ever tried doesn't pill great base for makeup and affordable I would recommend,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,2,2025-01-12 00:42:30.839000+00:00,C'mon Ulta..,"I order from Ulta quite often and this time was a little different.  Usually my products come in a box but this time they came packaged in a bubble mailer, which isn't the issue or a problem at all, I just noticed that was the first thing different. 
Second thing I noticed it came from the Return Center, which maybe I never paid attention to before but that for some reason stuck out to me.
Third, all my products came in perfect condition except for this one.  The top came off super easy as if the circle sticker seal on the right side of the bottle where the cap meets was already cut as if this had been tried out, returned and then re sold to me apparently.  This is just what I formed in my own opinion after opening my package.  Maybe I'm wrong, but as an avid consumer this was a different situation in my opinion and why was my seal already broken?",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-01-10 20:12:55.555000+00:00,Kisha,"I have the DRIEST skin due to psoriasis and eczema. Needed a new routine that I could afford and works. My skin is now not only buttery soft, but I haven't had a flare-up since switching. I have the Jelly Cleanser, Hydrating Toner, Hydrating Serum, Rich Cream, Barrier+ Treatment and Hydrating Recovery Oil.",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2025-01-09 04:11:09.978000+00:00,Sara,I use this moisturizer every morning and night and it is so good and I have been through a lot of bottles if this product and I love it I will definitely by this moisturizer again.,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2024-12-18 03:20:03.488000+00:00,Jay,"This moisturizer is amazing for my sensitive, dry, acne prone skin. It is so soothing and moisturizing and doesnt make me break out!",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2024-11-24 18:36:10.064000+00:00,paola,I was recently looking for a new moisturizer but nervous to try a new one because of my acne prone skin. i saw alot of recommendations for this one and ive been using it for about a month now. It is hydrating and DID NOT break me out so successful switch !!,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2024-11-13 16:22:10.957000+00:00,Elle,the packaging is so efective and I recoend for dry skin,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2024-10-25 18:42:27.860000+00:00,Debsss,I was gifted by byoma and this moisturizer is amazing! I love how it's an AM/PM moisturizer. It's hydrating but not heavy on the skin compared to other rich creamy moisturizer. I like how it's an affordable price!,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2024-10-25 16:15:43.735000+00:00,Nicole,"The Byoma Rich Cream Moisturizer has quickly become a must-have in my skincare routine! Its texture is thick and creamy without feeling too heavy, making it perfect for locking in moisture and leaving my skin soft and hydrated all day. My skin tends to feel dry, especially during colder months, and this moisturizer has been a game-changer in keeping my face comfortable and balanced.",17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,4,2024-10-25 13:54:32.159000+00:00,Sarah,Offered by Byoma: This product works so well for my dry/combo skin! I love that it can be used day/night and my glow is definitely still present in the morning and throughout the entire day. compact packaging is great too!,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,5,2024-10-25 05:56:04.659000+00:00,Anecia,I was gifted by Byoma. I love this product! I use it on my body when I'm going through bad dry spells. Also with the weather change this has come in handy very much so! I have sensitive skin and it also doesn't seem to cause any break outs,17 USD
powerreviews,ulta_us,pimprod2034791,BYOMA Moisturizing Rich Cream,4,2024-10-25 04:31:05.149000+00:00,elly,"Bakuchiol while safe for sensitive skin, it stimulates cell turnover as a gentler option to Retinol. So I have a hunch most people are using this daily if not 2x a day which I would def not recommend - that would explain all of the reviews highlighting breakouts. Start slow & steady, test patch & see how your skin reacts first. I enjoy this moisturizer & while it's hydrating at application, it does feel like it dries down pretty quickly after. I don't use it daily, but it's a good PM moisturizer option under an oil for improving skin texture and plumping. (gifted by Byoma in exchange for honest review)",17 USD
